class,mult,type,subtype,density,cnd.ub_l2,cni.ub_l2,ffnd.ub_l2,ffni.ub_l2,weighted_1.0.ub_l2,weighted_0.5.ub_l2,weighted_m0.5.ub_l2,weighted_m1.0.ub_l2,ilp2,lp2
C,15,1,1,0.8,906,1213,906,1213,1225,1202,1185,1219,423,4145.218779534811
C,15,1,1,0.7,1212,1490,1212,1490,1535,1603,1683,1490,563,4142.858442752535
C,15,1,1,0.6,1512,1888,1512,1888,1922,1838,1809,1866,623,4146.46496527842
C,15,1,1,0.5,1918,2414,1918,2414,2269,2235,2213,1987,744,4142.264244661703
C,15,1,1,0.4,2203,2539,2203,2539,2646,2760,2472,2382,947,4147.423581068513
C,15,1,1,0.3,2538,2976,2538,2976,3345,2999,3026,2962,1211,4156.066261770738
C,15,1,1,0.2,3089,3400,3089,3400,3666,3862,3303,3334,1601,4171.016754530982
C,15,1,1,0.1,4001,4178,4001,4178,4660,4717,4329,4387,2524,4265.652714718615
C,15,1,1,0.9,578,841,578,841,831,821,721,829,325,4142.635146559072
C,15,4,1,0.8,4026,5389,4026,5389,5625,5749,5499,5510,607,18580.100474333605
C,15,4,1,0.7,5698,7751,5698,7751,7955,7904,7697,7510,773,18580.70303288384
C,15,5,1,0.1,11907,11858,11907,11858,12911,12507,11250,10997,8307,10746.3884081134
C,15,5,1,0.2,9645,9243,9645,9243,9740,9981,9887,9851,5574,10321.229829232854
C,15,5,1,0.3,7651,8478,7651,8478,8486,8453,7285,7633,4357,10299.999999999998
C,15,5,1,0.4,6219,6737,6219,6737,8131,7839,7178,6860,3675,10300
C,15,4,1,0.6,7421,9488,7421,9488,10181,9914,9809,9725,859,18581.228689051335
C,15,5,1,0.6,4689,5147,4689,5147,5574,5893,4946,4805,2257,10300
C,15,5,1,0.5,5489,6203,5489,6203,6655,6788,5642,5642,2828,10300
C,15,5,1,0.7,3673,4420,3673,4420,4835,4835,3995,3894,2226,10300.000000000002
C,15,5,1,0.8,3042,3626,3042,3626,3584,3732,2863,2863,1760,10299.999999999996
C,15,4,1,0.5,9444,11930,9444,11930,12282,12172,11973,11886,1072,18580.90308305299
C,15,5,1,0.9,2032,2375,2032,2375,2233,2285,1931,2313,1267,10299.999999999996
C,15,4,1,0.4,11663,14908,11663,14908,14891,14794,14445,14288,1266,18582.13189005987
C,15,4,1,0.3,14205,16980,14205,16980,16920,16970,16930,16900,1798,18583.887756753265
C,15,4,1,0.2,17390,17420,17390,17420,17430,17470,17450,17420,2563,18584.43058313476
C,15,4,1,0.1,18190,17860,18190,17860,17900,17880,17890,17900,5030,18584.98422778097
C,15,8,1,0.3,15590,15570,15590,15570,15590,15590,15590,15590,8064,15594.749258741773
C,15,8,1,0.2,15590,15580,15590,15580,15590,15590,15590,15590,11512,15594.810110363607
C,15,8,1,0.1,15590,15580,15590,15580,15590,15590,15590,15590,15510,15594.764950144974
C,1,1,1,0.1,210,210,210,210,210,210,210,210,210,213.83141762452107
C,1,1,1,0.2,210,210,210,210,210,210,210,210,210,213.50016458263065
C,1,1,1,0.3,210,210,210,210,210,210,210,210,200,213.37086448856
C,1,1,1,0.4,210,200,210,200,200,200,200,200,200,213.60307980954215
C,1,1,1,0.5,210,200,210,200,200,200,200,200,200,213.5015145064088
C,1,1,1,0.6,210,200,210,200,210,200,200,200,199,213.5864986608623
C,1,1,1,0.7,210,200,210,200,210,200,200,200,200,213.581264301498
C,1,1,1,0.8,210,200,210,200,200,200,200,200,186,213.52739656462109
C,1,1,1,0.9,200,190,200,190,190,190,190,190,180,213.5344953318221
C,15,8,1,0.4,15590,15550,15590,15550,15590,15590,15590,15590,6133,15594.759143283523
C,15,8,1,0.5,15580,15530,15580,15530,15580,15580,15580,15590,4700,15594.723031772966
C,1,4,1,0.1,220,220,220,220,220,220,220,220,220,225.00000000000003
C,1,4,1,0.2,220,220,220,220,220,220,220,220,220,225
C,1,4,1,0.3,220,220,220,220,220,220,220,220,220,225
C,15,8,1,0.6,15560,15500,15560,15500,15580,15570,15540,15560,3780,15594.746837973547
C,1,4,1,0.4,220,220,220,220,220,220,220,220,220,224.99999999999997
C,1,4,1,0.5,220,220,220,220,220,220,220,220,220,225
C,1,4,1,0.6,220,220,220,220,220,220,220,220,220,225
C,1,5,1,0.1,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.7222222222222
C,1,5,1,0.2,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.7222222222222
C,1,5,1,0.3,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.695956652924
C,1,5,1,0.4,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.706969561876
C,1,5,1,0.5,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.7090195982305
C,1,5,1,0.6,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.7132350389124
C,1,5,1,0.7,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.7062855921854
C,1,5,1,0.8,1030,1030,1030,1030,1030,1030,1030,1030,1030,1039.7096430546208
C,1,5,1,0.9,1030,1030,1030,1030,1030,1030,1030,1030,1003,1039.7047092985065
C,1,4,1,0.7,220,220,220,220,220,220,220,220,210,224.99999999999997
C,1,4,1,0.8,220,220,220,220,220,220,220,220,200,225
C,1,4,1,0.9,220,210,220,210,210,210,210,210,190,225
C,15,8,1,0.7,15440,15430,15440,15430,15460,15470,15440,15420,3365,15594.750854288306
C,1,8,1,0.1,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
C,1,8,1,0.2,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
C,1,8,1,0.3,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
C,1,8,1,0.4,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
C,1,8,1,0.5,1040,1040,1040,1040,1040,1040,1040,1040,1040,1039.9999999999998
C,1,8,1,0.6,1040,1040,1040,1040,1040,1040,1040,1040,1030,1040
C,1,8,1,0.7,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
C,1,8,1,0.8,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
C,1,8,1,0.9,1040,1030,1040,1030,1040,1040,1040,1040,1030,1040
R,15,1,1,0.1,3275,2993,3275,2993,3005,2993,3004,3003,1949,3098.96909737493
R,15,1,1,0.2,2972,2595,2972,2595,2555,2597,2606,2621,1259,3226.5593605821346
R,15,1,1,0.3,2322,2301,2322,2301,2332,2337,2300,2289,1066,3159.9378016904557
R,15,1,1,0.4,2181,1886,2181,1886,1936,1868,1950,1900,871,3326.2562697026287
R,15,1,1,0.5,2058,1559,2058,1559,1571,1582,1600,1555,608,3142.248755487908
R,15,1,1,0.6,1635,1335,1635,1335,1336,1339,1416,1421,536,3362.807770229242
R,15,1,1,0.7,1369,1192,1369,1192,1173,1166,1134,1101,517,3465.4245645738797
R,15,1,1,0.8,969,804,969,804,768,768,794,773,323,3037.75459233985
R,15,1,1,0.9,761,576,761,576,597,597,527,545,273,3412.428241105922
C,15,8,1,0.8,12204,14765,12204,14765,15330,15330,14430,14989,2664,15594.755774093775
C,15,8,1,0.9,7432,9354,7432,9354,9855,9964,8875,8989,2064,15594.747499707944
C,15,4,1,0.9,2417,3405,2417,3405,3455,3326,3374,3245,408,18580.82396624966
R,15,4,1,0.5,10610,8806,10610,8806,8819,8756,8845,8786,967,22344.597144285155
R,15,4,1,0.4,12676,10310,12676,10310,10482,10464,10708,10394,1134,22661.88247503617
R,15,5,1,0.1,1928,1690,1928,1690,1834,1759,1688,1669,1402,1697.821983238283
R,15,5,1,0.2,1526,1319,1526,1319,1322,1406,1319,1339,881,1479.730348002582
R,15,5,1,0.3,1631,1162,1631,1162,1339,1249,1184,1255,707,1570.2121281820748
R,15,5,1,0.4,1321,1062,1321,1062,1085,1070,1072,1129,596,1664.1689803968163
R,15,4,1,0.7,7027,5566,7027,5566,5467,5438,5506,5544,566,23675.561707611854
R,15,5,1,0.5,1065,921,1065,921,1043,997,960,945,550,1643.1320765243024
R,15,5,1,0.6,1063,806,1063,806,948,779,784,734,407,1546.427429524946
R,15,5,1,0.7,816,688,816,688,719,659,719,778,370,1760.790718121445
R,15,5,1,0.8,553,515,553,515,565,560,507,549,269,1666.2834287795588
R,15,5,1,0.9,457,342,457,342,346,360,373,397,211,1641.0150785490723
R,15,4,1,0.3,14949,12856,14949,12856,12751,12922,12991,12896,1429,22325.645973519328
R,15,4,1,0.6,8588,6722,8588,6722,6752,6694,6823,6753,729,22296.78443905495
R,15,4,1,0.2,18109,15255,18109,15255,15286,15306,15349,15159,2252,22507.652821293308
R,15,4,1,0.1,20392,17924,20392,17924,18007,17875,17792,17808,3858,22306.423267840903
R,15,8,1,0.4,4723,3830,4723,3830,4040,3872,3874,3931,1168,5009.030857885263
R,15,8,1,0.3,4808,4129,4808,4129,4180,4123,4121,4185,1375,5091.788091727531
R,15,8,1,0.5,4727,3670,4727,3670,3773,3598,3614,3717,944,5045.072503520362
R,15,8,1,0.2,4717,4217,4717,4217,4333,4278,4221,4304,1945,4847.410415914998
R,1,1,1,0.1,403,402,403,402,402,402,402,402,402,410.4949922560661
R,1,1,1,0.2,458,456,458,456,456,456,456,456,456,474.5815560821485
R,1,1,1,0.3,408,373,408,373,373,373,373,373,361,425.6422373635778
R,1,1,1,0.4,439,436,439,436,436,436,436,436,424,462.2233009708738
R,1,1,1,0.5,463,447,463,447,447,447,447,447,422,500.64096128940054
R,1,1,1,0.6,460,392,460,392,392,392,392,392,347,469.7422857674825
R,1,1,1,0.7,459,396,459,396,396,396,396,401,373,462.69512113055055
R,1,1,1,0.8,444,346,444,346,346,346,346,346,280,450.9611109724187
R,1,1,1,0.9,454,338,454,338,338,338,341,341,266,474.8088609402443
R,15,8,1,0.1,4904,4539,4904,4539,4618,4562,4570,4566,3624,4949.5032349841495
R,1,4,1,0.1,659,657,659,657,657,657,657,657,657,672.3058612171205
R,1,4,1,0.2,621,603,621,603,603,603,603,603,602,634.8396146381164
R,15,8,1,0.6,4339,3346,4339,3346,3442,3393,3338,3430,733,5007.164927395325
R,15,4,1,0.8,5047,3825,5047,3825,3915,3879,3812,3941,522,23135.23987247596
R,1,4,1,0.3,654,636,654,636,636,636,636,636,614,656.2324853624647
R,1,4,1,0.4,645,614,645,614,614,614,614,614,571,650.0877303775745
R,1,4,1,0.5,630,586,630,586,586,586,586,595,561,632.8672159135898
R,1,4,1,0.6,643,575,643,575,589,589,575,575,527,652.0445224569444
R,1,5,1,0.1,294,294,294,294,294,294,294,294,294,360.17402597402605
R,1,5,1,0.2,293,293,293,293,293,293,293,293,293,347.5353159851301
R,1,5,1,0.3,292,291,292,291,292,291,291,291,287,351.01037165082107
R,1,5,1,0.4,297,290,297,290,290,290,290,297,286,349.6051582593674
R,1,4,1,0.7,676,569,676,569,569,569,569,569,475,689.4076413941599
R,1,5,1,0.5,295,292,295,292,292,292,292,295,292,358.25977605356195
R,1,5,1,0.6,288,282,288,282,288,288,282,282,277,364.40747350130954
R,1,5,1,0.7,299,295,299,295,299,298,295,298,282,365.085465395144
R,1,5,1,0.8,295,291,295,291,289,295,295,294,263,337.97366766343276
R,1,5,1,0.9,286,266,286,266,272,266,266,279,195,344.75046212152705
R,1,4,1,0.8,657,587,657,587,590,590,587,587,429,664.9786323699022
R,1,8,1,0.2,320,320,320,320,320,320,320,320,307,377.54489967238015
R,1,8,1,0.1,331,331,331,331,331,334,334,334,323,391.0513833410108
R,1,4,1,0.9,663,536,663,536,536,536,536,536,358,662.83215673444
R,1,8,1,0.3,348,348,348,348,348,348,348,348,339,383.7114657175429
R,1,8,1,0.4,358,358,358,358,358,333,331,331,313,390.1792297050029
R,1,8,1,0.5,351,340,351,340,348,340,340,340,300,387.96114363698393
R,1,8,1,0.6,300,300,300,300,300,300,300,300,299.9999999999999,389.6373371018037
R,1,8,1,0.7,324,347,324,347,347,347,344,344,300,390.1976567089869
R,1,8,1,0.8,337,304,337,304,322,337,319,319,295,390.1124164095623
R,1,8,1,0.9,298,297,298,297,298,298,297,297,292,386.59558230124907
R,15,8,1,0.8,3129,2287,3129,2287,2320,2278,2254,2263,472,5015.406500848518
R,15,8,1,0.7,3780,2816,3780,2816,2932,2849,2906,2933,615,4864.771036631981
R,15,8,1,0.9,1928,1408,1928,1408,1440,1396,1336,1364,419,4788.501096844406
R,15,4,1,0.9,2982,2266,2982,2266,2305,2291,2244,2255,401,22431.1522933132
