class,mult,type,subtype,density,lp2
C,15,1,1,0.1,4265.652714718615
C,15,1,1,0.2,4171.016754530982
C,15,1,1,0.3,4156.066261770738
C,15,1,1,0.4,4147.423581068513
C,15,1,1,0.5,4142.264244661703
C,15,1,1,0.6,4146.46496527842
C,15,1,1,0.7,4142.858442752535
C,15,1,1,0.8,4145.218779534811
C,15,1,1,0.9,4142.635146559072
C,15,4,1,0.1,18584.98422778097
C,15,4,1,0.2,18584.43058313476
C,15,5,1,0.1,10746.3884081134
C,15,5,1,0.2,10321.229829232854
C,15,5,1,0.3,10299.999999999998
C,15,5,1,0.4,10300
C,15,5,1,0.5,10300
C,15,5,1,0.6,10300
C,15,5,1,0.7,10300.000000000002
C,15,5,1,0.8,10299.999999999996
C,15,5,1,0.9,10299.999999999996
C,15,8,1,0.1,15594.764950144974
C,15,4,1,0.3,18583.887756753265
C,15,8,1,0.2,15594.810110363607
C,15,8,1,0.3,15594.749258741773
C,15,8,1,0.4,15594.759143283523
C,15,8,1,0.5,15594.723031772966
C,15,4,1,0.4,18582.13189005987
C,15,8,1,0.6,15594.746837973547
C,15,8,1,0.7,15594.750854288306
C,1,1,1,0.1,213.83141762452107
C,1,1,1,0.2,213.50016458263065
C,15,8,1,0.8,15594.755774093775
C,1,1,1,0.3,213.37086448856
C,1,1,1,0.4,213.60307980954215
C,15,8,1,0.9,15594.747499707944
C,1,1,1,0.5,213.5015145064088
C,1,1,1,0.6,213.5864986608623
C,1,1,1,0.7,213.581264301498
C,1,1,1,0.8,213.52739656462109
C,1,1,1,0.9,213.5344953318221
C,15,4,1,0.5,18580.90308305299
C,1,4,1,0.1,225.00000000000003
C,1,4,1,0.2,225
C,15,4,1,0.6,18581.228689051335
C,1,4,1,0.3,225
C,15,4,1,0.7,18580.70303288384
C,1,4,1,0.4,224.99999999999997
C,1,5,1,0.1,1039.7222222222222
C,1,5,1,0.2,1039.7222222222222
C,1,5,1,0.3,1039.695956652924
C,1,4,1,0.5,225
C,1,5,1,0.4,1039.706969561876
C,1,5,1,0.5,1039.7090195982305
C,1,5,1,0.6,1039.7132350389124
C,1,5,1,0.7,1039.7062855921854
C,1,5,1,0.8,1039.7096430546208
C,1,5,1,0.9,1039.7047092985065
C,1,8,1,0.1,1040
C,1,8,1,0.2,1040
C,1,8,1,0.3,1040
C,1,4,1,0.6,225
C,1,8,1,0.4,1040
C,1,8,1,0.5,1039.9999999999998
C,1,8,1,0.6,1040
C,1,4,1,0.7,224.99999999999997
C,15,4,1,0.8,18580.100474333605
R,15,1,1,0.1,3098.96909737493
R,15,1,1,0.2,3226.5593605821346
C,1,4,1,0.8,225
C,1,8,1,0.7,1040
R,15,1,1,0.3,3159.9378016904557
R,15,1,1,0.4,3326.2562697026287
R,15,1,1,0.5,3142.248755487908
R,15,1,1,0.6,3362.807770229242
R,15,1,1,0.7,3465.4245645738797
R,15,1,1,0.8,3037.75459233985
R,15,1,1,0.9,3412.428241105922
C,1,8,1,0.8,1040
C,1,8,1,0.9,1040
C,1,4,1,0.9,225
C,15,4,1,0.9,18580.82396624966
R,15,4,1,0.1,22306.423267840903
R,15,4,1,0.2,22507.652821293308
R,15,5,1,0.1,1697.821983238283
R,15,5,1,0.2,1479.730348002582
R,15,5,1,0.3,1570.2121281820748
R,15,5,1,0.4,1664.1689803968163
R,15,5,1,0.5,1643.1320765243024
R,15,5,1,0.6,1546.427429524946
R,15,5,1,0.7,1760.790718121445
R,15,5,1,0.8,1666.2834287795588
R,15,5,1,0.9,1641.0150785490723
R,15,8,1,0.1,4949.5032349841495
R,15,8,1,0.2,4847.410415914998
R,15,4,1,0.3,22325.645973519328
R,15,8,1,0.3,5091.788091727531
R,15,8,1,0.4,5009.030857885263
R,15,8,1,0.5,5045.072503520362
R,15,4,1,0.4,22661.88247503617
R,15,8,1,0.6,5007.164927395325
R,15,4,1,0.5,22344.597144285155
R,1,1,1,0.1,410.4949922560661
R,1,1,1,0.2,474.5815560821485
R,1,1,1,0.3,425.6422373635778
R,15,8,1,0.7,4864.771036631981
R,1,1,1,0.4,462.2233009708738
R,1,1,1,0.5,500.64096128940054
R,15,8,1,0.8,5015.406500848518
R,1,1,1,0.6,469.7422857674825
R,1,1,1,0.7,462.69512113055055
R,1,1,1,0.8,450.9611109724187
R,15,8,1,0.9,4788.501096844406
R,1,1,1,0.9,474.8088609402443
R,1,4,1,0.1,672.3058612171205
R,15,4,1,0.6,22296.78443905495
R,1,4,1,0.2,634.8396146381164
R,1,4,1,0.3,656.2324853624647
R,1,4,1,0.4,650.0877303775745
R,15,4,1,0.7,23675.561707611854
R,1,5,1,0.1,360.17402597402605
R,1,5,1,0.2,347.5353159851301
R,1,5,1,0.3,351.01037165082107
R,1,5,1,0.4,349.6051582593674
R,1,5,1,0.5,358.25977605356195
R,1,5,1,0.6,364.40747350130954
R,1,5,1,0.7,365.085465395144
R,1,4,1,0.5,632.8672159135898
R,1,5,1,0.8,337.97366766343276
R,1,5,1,0.9,344.75046212152705
R,1,8,1,0.1,391.0513833410108
R,1,8,1,0.2,377.54489967238015
R,1,4,1,0.6,652.0445224569444
R,1,8,1,0.3,383.7114657175429
R,15,4,1,0.8,23135.23987247596
R,1,8,1,0.4,390.1792297050029
R,1,4,1,0.7,689.4076413941599
R,1,8,1,0.5,387.96114363698393
R,1,8,1,0.6,389.6373371018037
R,1,8,1,0.7,390.1976567089869
R,1,4,1,0.8,664.9786323699022
R,1,8,1,0.8,390.1124164095623
R,1,8,1,0.9,386.59558230124907
R,1,4,1,0.9,662.83215673444
R,15,4,1,0.9,22431.1522933132
