instance;weight;size;time
BPPC_8_0_3.txt_0.9.bz2;2163;5;45
BPPC_8_0_1.txt_0.1.bz2;0;0;0
BPPC_1_0_8.txt_0.1.bz2;2600;33;457
BPPC_4_0_4.txt_0.4.bz2;0;0;0
BPPC_5_0_7.txt_0.1.bz2;8476;24;0
BPPC_6_0_7.txt_0.9.bz2;1475;4;4
BPPC_1_0_4.txt_0.5.bz2;778;10;2
BPPC_5_0_5.txt_0.1.bz2;7776;22;1
BPPC_6_0_5.txt_0.5.bz2;3709;9;2
BPPC_8_0_9.txt_0.8.bz2;2667;7;60
BPPC_2_0_8.txt_0.2.bz2;2147;24;193583
BPPC_6_0_8.txt_0.9.bz2;1407;3;1
BPPC_3_0_4.txt_0.4.bz2;1412;15;53269
BPPC_8_0_5.txt_0.7.bz2;3256;8;70
BPPC_5_0_8.txt_0.9.bz2;1267;3;1
BPPC_5_0_5.txt_0.7.bz2;2078;5;0
BPPC_7_0_8.txt_0.8.bz2;2382;5;10
BPPC_5_0_1.txt_0.8.bz2;1760;4;0
BPPC_5_0_7.txt_0.3.bz2;4566;12;2
BPPC_6_0_7.txt_0.6.bz2;2968;7;2
BPPC_8_0_3.txt_0.7.bz2;3370;8;62
BPPC_4_0_9.txt_0.2.bz2;0;0;0
BPPC_7_0_10.txt_0.1.bz2;0;0;0
BPPC_5_0_9.txt_0.3.bz2;4280;12;0
BPPC_5_0_3.txt_0.8.bz2;1656;4;0
BPPC_6_0_8.txt_0.5.bz2;3695;9;3
BPPC_1_0_7.txt_0.9.bz2;347;4;1
BPPC_3_0_9.txt_0.5.bz2;1055;12;3353
BPPC_7_0_2.txt_0.9.bz2;1808;4;12
BPPC_7_0_4.txt_0.8.bz2;2434;6;14
BPPC_4_0_5.txt_0.5.bz2;1268;14;290821
BPPC_6_0_1.txt_0.1.bz2;11901;33;305
BPPC_5_0_9.txt_0.8.bz2;1811;4;0
BPPC_3_0_8.txt_0.9.bz2;443;5;42
BPPC_5_0_3.txt_0.9.bz2;1314;3;0
BPPC_6_0_4.txt_0.3.bz2;5708;14;19
BPPC_8_0_10.txt_0.6.bz2;4026;10;328
BPPC_6_0_6.txt_0.9.bz2;1642;4;1
BPPC_5_0_7.txt_0.6.bz2;2495;6;0
BPPC_4_0_9.txt_0.4.bz2;0;0;0
BPPC_4_0_1.txt_0.6.bz2;1025;11;11685
BPPC_8_0_5.txt_0.9.bz2;2163;5;37
BPPC_2_0_10.txt_0.8.bz2;545;6;9
BPPC_4_0_7.txt_0.8.bz2;635;7;208
BPPC_3_0_5.txt_0.7.bz2;720;8;81
BPPC_7_0_8.txt_0.2.bz2;10144;25;113369
BPPC_4_0_3.txt_0.7.bz2;826;9;877
BPPC_3_0_10.txt_0.9.bz2;456;5;48
BPPC_3_0_5.txt_0.9.bz2;455;5;50
BPPC_2_0_1.txt_0.3.bz2;1534;18;3520
BPPC_6_0_2.txt_0.8.bz2;2048;5;1
BPPC_7_0_5.txt_0.2.bz2;9764;26;198923
BPPC_8_0_9.txt_0.4.bz2;6481;16;51241
BPPC_1_0_9.txt_0.7.bz2;541;6;1
BPPC_8_0_3.txt_0.6.bz2;4123;10;319
BPPC_3_0_4.txt_0.7.bz2;768;8;64
BPPC_7_0_2.txt_0.1.bz2;0;0;0
BPPC_1_0_1.txt_0.3.bz2;1211;15;12
BPPC_8_0_3.txt_0.1.bz2;0;0;0
BPPC_6_0_8.txt_0.1.bz2;11501;32;593
BPPC_3_0_7.txt_0.7.bz2;726;7;65
BPPC_8_0_4.txt_0.3.bz2;0;0;0
BPPC_1_0_10.txt_0.4.bz2;939;11;4
BPPC_3_0_1.txt_0.8.bz2;562;6;55
BPPC_7_0_7.txt_0.5.bz2;4585;11;47
BPPC_2_0_2.txt_0.1.bz2;0;0;0
BPPC_7_0_6.txt_0.9.bz2;1703;4;8
BPPC_2_0_6.txt_0.7.bz2;656;7;7
BPPC_4_0_2.txt_0.2.bz2;0;0;0
BPPC_4_0_7.txt_0.1.bz2;0;0;0
BPPC_2_0_4.txt_0.2.bz2;2141;26;142693
BPPC_8_0_3.txt_0.4.bz2;6542;17;51042
BPPC_5_0_5.txt_0.9.bz2;1298;3;0
BPPC_6_0_10.txt_0.6.bz2;3072;8;2
BPPC_7_0_1.txt_0.4.bz2;5485;14;407
BPPC_1_0_7.txt_0.5.bz2;762;9;2
BPPC_8_0_8.txt_0.8.bz2;2716;6;44
BPPC_1_0_4.txt_0.8.bz2;496;5;2
BPPC_5_0_4.txt_0.4.bz2;3350;9;0
BPPC_7_0_5.txt_0.8.bz2;2326;6;6
BPPC_1_0_4.txt_0.4.bz2;988;11;4
BPPC_6_0_3.txt_0.2.bz2;7652;21;56
BPPC_2_0_4.txt_0.3.bz2;1562;18;3117
BPPC_8_0_7.txt_0.2.bz2;0;0;0
BPPC_5_0_4.txt_0.9.bz2;1215;3;0
BPPC_4_0_3.txt_0.2.bz2;0;0;0
BPPC_1_0_2.txt_0.2.bz2;1570;20;89
BPPC_3_0_4.txt_0.9.bz2;453;5;41
BPPC_7_0_4.txt_0.6.bz2;3449;8;16
BPPC_7_0_6.txt_0.7.bz2;3330;8;9
BPPC_8_0_7.txt_0.4.bz2;6459;15;48427
BPPC_2_0_8.txt_0.9.bz2;411;4;7
BPPC_5_0_4.txt_0.2.bz2;6262;17;0
BPPC_1_0_8.txt_0.8.bz2;431;4;1
BPPC_2_0_3.txt_0.3.bz2;1487;17;4726
BPPC_1_0_7.txt_0.1.bz2;2540;31;588
BPPC_3_0_3.txt_0.9.bz2;433;5;41
BPPC_4_0_1.txt_0.3.bz2;0;0;0
BPPC_6_0_9.txt_0.9.bz2;1569;4;1
BPPC_8_0_6.txt_0.4.bz2;6447;15;54419
BPPC_7_0_5.txt_0.4.bz2;5608;14;346
BPPC_1_0_3.txt_0.9.bz2;337;4;1
BPPC_5_0_3.txt_0.4.bz2;3491;9;0
BPPC_7_0_1.txt_0.7.bz2;3038;7;11
BPPC_5_0_7.txt_0.9.bz2;1249;3;0
BPPC_1_0_5.txt_0.8.bz2;418;5;1
BPPC_1_0_6.txt_0.2.bz2;1538;20;174
BPPC_7_0_10.txt_0.6.bz2;3585;9;13
BPPC_5_0_1.txt_0.9.bz2;1267;3;0
BPPC_5_0_7.txt_0.8.bz2;1550;4;0
BPPC_6_0_9.txt_0.6.bz2;3034;7;3
BPPC_5_0_10.txt_0.6.bz2;2221;6;0
BPPC_3_0_2.txt_0.5.bz2;1092;12;2995
BPPC_1_0_5.txt_0.3.bz2;1291;14;18
BPPC_3_0_2.txt_0.9.bz2;437;5;39
BPPC_2_0_3.txt_0.7.bz2;692;7;10
BPPC_6_0_1.txt_0.5.bz2;3837;9;1
BPPC_7_0_2.txt_0.2.bz2;9659;26;203194
BPPC_5_0_1.txt_0.2.bz2;5574;16;0
BPPC_6_0_1.txt_0.2.bz2;7404;21;92
BPPC_6_0_5.txt_0.6.bz2;3116;8;1
BPPC_4_0_6.txt_0.7.bz2;824;9;903
BPPC_1_0_1.txt_0.1.bz2;2524;33;1067
BPPC_3_0_7.txt_0.5.bz2;1139;12;2974
BPPC_7_0_5.txt_0.5.bz2;4568;11;41
BPPC_7_0_9.txt_0.2.bz2;9986;25;146471
BPPC_2_0_1.txt_0.4.bz2;1128;14;392
BPPC_8_0_3.txt_0.5.bz2;5009;12;3014
BPPC_8_0_2.txt_0.5.bz2;5080;12;2988
BPPC_6_0_2.txt_0.5.bz2;3424;10;2
BPPC_1_0_6.txt_0.7.bz2;500;6;1
BPPC_8_0_7.txt_0.7.bz2;3420;8;64
BPPC_6_0_4.txt_0.7.bz2;2318;6;1
BPPC_4_0_4.txt_0.8.bz2;662;7;215
BPPC_5_0_2.txt_0.6.bz2;2432;6;0
BPPC_2_0_9.txt_0.5.bz2;965;11;56
BPPC_5_0_3.txt_0.6.bz2;2428;7;0
BPPC_3_0_6.txt_0.8.bz2;587;6;40
BPPC_3_0_7.txt_0.8.bz2;572;6;40
BPPC_3_0_5.txt_0.3.bz2;0;0;0
BPPC_8_0_1.txt_0.4.bz2;6520;15;60750
BPPC_5_0_8.txt_0.1.bz2;8225;23;0
BPPC_8_0_10.txt_0.8.bz2;2567;6;43
BPPC_8_0_5.txt_0.4.bz2;6348;16;56243
BPPC_2_0_1.txt_0.2.bz2;2119;24;149381
BPPC_3_0_1.txt_0.2.bz2;0;0;0
BPPC_8_0_5.txt_0.6.bz2;4106;10;308
BPPC_4_0_1.txt_0.8.bz2;659;7;204
BPPC_1_0_4.txt_0.3.bz2;1283;13;16
BPPC_6_0_7.txt_0.8.bz2;1914;5;1
BPPC_2_0_8.txt_0.3.bz2;1660;19;2925
BPPC_8_0_9.txt_0.3.bz2;0;0;0
BPPC_5_0_7.txt_0.5.bz2;2839;8;0
BPPC_6_0_10.txt_0.7.bz2;2341;6;1
BPPC_1_0_2.txt_0.8.bz2;448;5;1
BPPC_5_0_5.txt_0.6.bz2;2649;7;0
BPPC_5_0_3.txt_0.1.bz2;8264;23;0
BPPC_3_0_7.txt_0.9.bz2;462;5;40
BPPC_1_0_1.txt_0.8.bz2;423;5;1
BPPC_2_0_10.txt_0.4.bz2;1191;14;383
BPPC_7_0_2.txt_0.8.bz2;2286;6;14
BPPC_8_0_6.txt_0.9.bz2;2153;5;43
BPPC_1_0_9.txt_0.9.bz2;340;4;1
BPPC_4_0_1.txt_0.2.bz2;0;0;0
BPPC_8_0_2.txt_0.9.bz2;2031;5;42
BPPC_1_0_4.txt_0.1.bz2;2545;32;822
BPPC_6_0_4.txt_0.4.bz2;4530;12;4
BPPC_2_0_2.txt_0.7.bz2;693;8;13
BPPC_1_0_2.txt_0.3.bz2;1269;14;13
BPPC_8_0_8.txt_0.5.bz2;5141;13;2743
BPPC_7_0_3.txt_0.3.bz2;7694;20;3043
BPPC_7_0_5.txt_0.9.bz2;1805;4;8
BPPC_4_0_9.txt_0.6.bz2;1030;11;11175
BPPC_3_0_9.txt_0.6.bz2;850;9;307
BPPC_6_0_9.txt_0.2.bz2;7452;20;105
BPPC_1_0_3.txt_0.3.bz2;1308;15;13
BPPC_5_0_5.txt_0.2.bz2;6088;16;0
BPPC_2_0_2.txt_0.5.bz2;921;10;56
BPPC_5_0_6.txt_0.2.bz2;5498;15;0
BPPC_8_0_5.txt_0.8.bz2;2602;6;43
BPPC_7_0_6.txt_0.2.bz2;10048;26;101432
BPPC_4_0_6.txt_0.9.bz2;494;5;160
BPPC_1_0_9.txt_0.6.bz2;595;7;1
BPPC_7_0_6.txt_0.8.bz2;2395;6;8
BPPC_5_0_8.txt_0.4.bz2;3238;9;1
BPPC_8_0_10.txt_0.2.bz2;0;0;0
BPPC_6_0_9.txt_0.5.bz2;3486;9;5
BPPC_3_0_6.txt_0.4.bz2;1426;15;53742
BPPC_1_0_10.txt_0.1.bz2;2411;32;781
BPPC_4_0_5.txt_0.3.bz2;0;0;0
BPPC_5_0_6.txt_0.3.bz2;4088;11;0
BPPC_4_0_3.txt_0.1.bz2;0;0;0
BPPC_5_0_5.txt_0.5.bz2;2815;7;0
BPPC_8_0_4.txt_0.9.bz2;1917;5;41
BPPC_3_0_8.txt_0.2.bz2;0;0;0
BPPC_2_0_5.txt_0.6.bz2;789;9;15
BPPC_2_0_8.txt_0.7.bz2;656;7;10
BPPC_2_0_7.txt_0.2.bz2;2102;25;186944
BPPC_3_0_8.txt_0.6.bz2;997;10;304
BPPC_1_0_2.txt_0.5.bz2;760;9;2
BPPC_1_0_5.txt_0.5.bz2;787;9;2
BPPC_4_0_1.txt_0.7.bz2;796;9;947
BPPC_3_0_4.txt_0.1.bz2;0;0;0
BPPC_4_0_5.txt_0.2.bz2;0;0;0
BPPC_1_0_6.txt_0.9.bz2;308;3;1
BPPC_1_0_4.txt_0.2.bz2;1697;19;80
BPPC_4_0_8.txt_0.9.bz2;504;5;164
BPPC_4_0_7.txt_0.7.bz2;882;9;764
BPPC_4_0_3.txt_0.6.bz2;1049;11;11490
BPPC_8_0_1.txt_0.6.bz2;4152;10;312
BPPC_5_0_9.txt_0.7.bz2;2157;6;0
BPPC_3_0_9.txt_0.1.bz2;0;0;0
BPPC_8_0_5.txt_0.2.bz2;0;0;0
BPPC_7_0_2.txt_0.4.bz2;5493;14;319
BPPC_1_0_5.txt_0.2.bz2;1684;20;78
BPPC_6_0_8.txt_0.4.bz2;4594;12;5
BPPC_3_0_8.txt_0.8.bz2;579;6;41
BPPC_8_0_2.txt_0.1.bz2;0;0;0
BPPC_7_0_2.txt_0.5.bz2;4479;11;50
BPPC_6_0_4.txt_0.6.bz2;2804;7;1
BPPC_2_0_1.txt_0.1.bz2;0;0;0
BPPC_5_0_5.txt_0.3.bz2;4477;12;0
BPPC_3_0_4.txt_0.5.bz2;1121;12;3131
BPPC_2_0_7.txt_0.3.bz2;1517;17;3930
BPPC_3_0_9.txt_0.7.bz2;751;8;65
BPPC_8_0_4.txt_0.6.bz2;4025;9;319
BPPC_4_0_4.txt_0.5.bz2;1271;13;306461
BPPC_1_0_6.txt_0.5.bz2;774;8;2
BPPC_4_0_9.txt_0.5.bz2;1296;14;263350
BPPC_3_0_2.txt_0.3.bz2;0;0;0
BPPC_1_0_3.txt_0.8.bz2;412;4;1
BPPC_4_0_1.txt_0.9.bz2;504;5;164
BPPC_8_0_6.txt_0.7.bz2;3323;8;68
BPPC_3_0_5.txt_0.8.bz2;579;6;46
BPPC_5_0_3.txt_0.5.bz2;2995;8;0
BPPC_6_0_5.txt_0.7.bz2;2640;7;1
BPPC_8_0_7.txt_0.8.bz2;2545;6;43
BPPC_1_0_5.txt_0.6.bz2;633;7;2
BPPC_8_0_10.txt_0.7.bz2;3359;8;68
BPPC_8_0_5.txt_0.3.bz2;0;0;0
BPPC_3_0_3.txt_0.1.bz2;0;0;0
BPPC_2_0_2.txt_0.2.bz2;2106;24;177663
BPPC_1_0_10.txt_0.9.bz2;370;4;1
BPPC_4_0_2.txt_0.7.bz2;914;9;739
BPPC_3_0_6.txt_0.2.bz2;0;0;0
BPPC_7_0_7.txt_0.1.bz2;0;0;0
BPPC_2_0_4.txt_0.8.bz2;495;5;9
BPPC_8_0_7.txt_0.9.bz2;2070;5;41
BPPC_2_0_9.txt_0.4.bz2;1262;15;313
BPPC_6_0_8.txt_0.8.bz2;2055;5;1
BPPC_5_0_10.txt_0.1.bz2;8230;24;0
BPPC_3_0_8.txt_0.1.bz2;0;0;0
BPPC_4_0_7.txt_0.6.bz2;993;11;12120
BPPC_5_0_1.txt_0.5.bz2;2828;8;0
BPPC_2_0_4.txt_0.9.bz2;424;5;12
BPPC_7_0_7.txt_0.2.bz2;9805;26;149043
BPPC_5_0_1.txt_0.1.bz2;8307;24;0
BPPC_3_0_10.txt_0.8.bz2;543;6;45
BPPC_6_0_5.txt_0.1.bz2;12004;33;394
BPPC_3_0_5.txt_0.5.bz2;1133;12;2886
BPPC_7_0_9.txt_0.7.bz2;3007;8;8
BPPC_1_0_3.txt_0.7.bz2;541;6;1
BPPC_8_0_6.txt_0.6.bz2;4101;10;306
BPPC_7_0_10.txt_0.4.bz2;5539;13;346
BPPC_1_0_6.txt_0.4.bz2;944;11;6
BPPC_3_0_5.txt_0.1.bz2;0;0;0
BPPC_3_0_1.txt_0.6.bz2;935;10;286
BPPC_6_0_4.txt_0.2.bz2;7520;20;98
BPPC_8_0_3.txt_0.8.bz2;2495;6;46
BPPC_4_0_10.txt_0.6.bz2;1015;11;11813
BPPC_4_0_7.txt_0.3.bz2;0;0;0
BPPC_8_0_10.txt_0.5.bz2;5145;12;2929
BPPC_2_0_10.txt_0.6.bz2;763;9;18
BPPC_5_0_10.txt_0.8.bz2;1507;4;0
BPPC_6_0_3.txt_0.3.bz2;5607;14;23
BPPC_6_0_7.txt_0.4.bz2;4232;11;4
BPPC_3_0_3.txt_0.4.bz2;1390;15;51925
BPPC_6_0_6.txt_0.5.bz2;3682;9;2
BPPC_5_0_4.txt_0.8.bz2;1672;4;0
BPPC_1_0_9.txt_0.2.bz2;1830;21;47
BPPC_2_0_10.txt_0.2.bz2;2119;26;178461
BPPC_2_0_9.txt_0.3.bz2;1571;17;4117
BPPC_7_0_8.txt_0.6.bz2;4141;10;13
BPPC_4_0_4.txt_0.1.bz2;0;0;0
BPPC_6_0_1.txt_0.4.bz2;4528;12;4
BPPC_8_0_2.txt_0.3.bz2;0;0;0
BPPC_2_0_10.txt_0.1.bz2;0;0;0
BPPC_3_0_8.txt_0.3.bz2;0;0;0
BPPC_8_0_8.txt_0.2.bz2;0;0;0
BPPC_1_0_7.txt_0.7.bz2;547;6;2
BPPC_8_0_1.txt_0.8.bz2;2664;6;50
BPPC_8_0_4.txt_0.4.bz2;6467;16;48543
BPPC_1_0_6.txt_0.3.bz2;1230;15;16
BPPC_8_0_8.txt_0.6.bz2;4329;10;318
BPPC_8_0_1.txt_0.7.bz2;3365;9;67
BPPC_7_0_4.txt_0.9.bz2;1899;4;7
BPPC_8_0_8.txt_0.7.bz2;3326;8;67
BPPC_8_0_5.txt_0.5.bz2;5012;12;3042
BPPC_2_0_3.txt_0.6.bz2;792;9;15
BPPC_5_0_9.txt_0.4.bz2;3867;10;0
BPPC_6_0_6.txt_0.4.bz2;4331;10;5
BPPC_3_0_7.txt_0.6.bz2;938;10;296
BPPC_6_0_4.txt_0.5.bz2;3535;10;2
BPPC_5_0_8.txt_0.7.bz2;1968;5;0
BPPC_5_0_2.txt_0.1.bz2;8180;21;1
BPPC_1_0_9.txt_0.5.bz2;872;9;5
BPPC_2_0_9.txt_0.7.bz2;608;7;8
BPPC_5_0_6.txt_0.1.bz2;8614;24;0
BPPC_5_0_9.txt_0.1.bz2;8063;22;0
BPPC_4_0_8.txt_0.1.bz2;0;0;0
BPPC_8_0_4.txt_0.8.bz2;2538;6;46
BPPC_6_0_7.txt_0.2.bz2;7639;21;98
BPPC_3_0_9.txt_0.8.bz2;606;7;41
BPPC_4_0_10.txt_0.1.bz2;0;0;0
BPPC_4_0_10.txt_0.3.bz2;0;0;0
BPPC_7_0_3.txt_0.4.bz2;5405;13;380
BPPC_3_0_4.txt_0.6.bz2;919;10;307
BPPC_2_0_9.txt_0.1.bz2;0;0;0
BPPC_3_0_8.txt_0.4.bz2;1514;16;50092
BPPC_5_0_4.txt_0.1.bz2;8214;23;0
BPPC_7_0_1.txt_0.1.bz2;0;0;0
BPPC_4_0_6.txt_0.5.bz2;1291;14;279197
BPPC_8_0_8.txt_0.1.bz2;0;0;0
BPPC_6_0_4.txt_0.9.bz2;1540;4;1
BPPC_4_0_8.txt_0.8.bz2;697;7;205
BPPC_4_0_1.txt_0.4.bz2;0;0;0
BPPC_2_0_8.txt_0.4.bz2;1259;14;296
BPPC_5_0_8.txt_0.3.bz2;4294;12;0
BPPC_5_0_2.txt_0.2.bz2;5920;16;0
BPPC_7_0_9.txt_0.4.bz2;5472;14;334
BPPC_3_0_9.txt_0.9.bz2;445;5;40
BPPC_5_0_6.txt_0.6.bz2;2336;6;0
BPPC_6_0_10.txt_0.2.bz2;7544;20;100
BPPC_6_0_1.txt_0.9.bz2;1488;4;2
BPPC_8_0_8.txt_0.3.bz2;0;0;0
BPPC_5_0_8.txt_0.6.bz2;2620;6;1
BPPC_6_0_1.txt_0.7.bz2;2469;6;1
BPPC_2_0_2.txt_0.9.bz2;398;4;10
BPPC_4_0_8.txt_0.3.bz2;0;0;0
BPPC_5_0_10.txt_0.3.bz2;4483;12;0
BPPC_6_0_6.txt_0.6.bz2;2863;7;1
BPPC_2_0_5.txt_0.9.bz2;388;4;10
BPPC_6_0_8.txt_0.7.bz2;2491;6;1
BPPC_4_0_2.txt_0.1.bz2;0;0;0
BPPC_6_0_2.txt_0.7.bz2;2202;6;1
BPPC_4_0_10.txt_0.8.bz2;665;7;206
BPPC_1_0_8.txt_0.4.bz2;998;11;3
BPPC_6_0_5.txt_0.8.bz2;2013;5;1
BPPC_3_0_6.txt_0.9.bz2;481;5;43
BPPC_8_0_3.txt_0.3.bz2;0;0;0
BPPC_7_0_7.txt_0.7.bz2;2862;7;10
BPPC_6_0_7.txt_0.5.bz2;3610;9;2
BPPC_7_0_1.txt_0.5.bz2;4511;10;49
BPPC_3_0_6.txt_0.3.bz2;0;0;0
BPPC_1_0_8.txt_0.6.bz2;619;7;1
BPPC_3_0_7.txt_0.2.bz2;0;0;0
BPPC_3_0_2.txt_0.2.bz2;0;0;0
BPPC_2_0_3.txt_0.4.bz2;1232;14;279
BPPC_5_0_3.txt_0.3.bz2;4419;12;0
